id,Title,Content,Excerpt,Permalink,SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"Total Sales",printing-detail,sealant,weight-color,window,Custom-printing,Dropdown-feature,Sealing-method,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Product Categories",Status,Format,Weight,Length,Width,Height,"Min Variation Price",Format,"Post Type","Product Version",product_type,parent_id
85,"#10 Window","SKU: 10-W
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-w/,10-W,11.28,11.28,,instock,,visible,38,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,"#9 &amp; #10 Envelopes>Window",publish,,7,14,10,6,17.60,,product,2.5.2,simple,0
87,"#9 Window","SKU: 9-W
Style: #9 Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/9-commercial-9-w/,9-W,11.28,11.28,,instock,,visible,3,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,"#9 &amp; #10 Envelopes>Window",publish,,6,14,10,6,17.60,,product,2.5.2,simple,0
88,"#9 Regular Tint","SKU: 9-R-BKT
Style: Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black",http://azenvelope.youareheremedia.com/product/9-commercial-9-r-bkt/,9-R-BKT,11.62,11.62,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,NI-K-10-Regular-Tint-Front1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,870,"#10 Regular Tint -Front",,,,"#9 &amp; #10 Envelopes>Regular",publish,,6,14,10,6,24.99,,product,2.5.2,simple,0
89,"#9 Regular","SKU: 9-R
Style: #9 Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-commercial-9-r/,9-R,9.56,9.56,,instock,,visible,6,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,"#9 &amp; #10 Envelopes>Regular",publish,,6,14,10,6,14.74,,product,2.5.2,simple,0
90,"#10 Regular","SKU: 10-R
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Paper Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-1/8 x 9-1/2
Paper Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/10-commercial-10-r/,10-R,9.56,9.56,,instock,,visible,44,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,"#9 &amp; #10 Envelopes>Regular",publish,,7,,,,,,product,2.6.4,simple,0
112,"#14 (5 x 11)",,,http://azenvelope.youareheremedia.com/product/14-5-x-11/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
136,"#12 (4 3/4 x 11)",,,http://azenvelope.youareheremedia.com/product/12-4-34-x-11-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
159,"#11 (4 1/2 x 10 3/8)",,,http://azenvelope.youareheremedia.com/product/11-4-12-x-10-38-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
172,"#10 (4 1/8 x 9 1/2)",,,http://azenvelope.youareheremedia.com/product/10-4-18-x-9-12-3/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
185,"#9 (3 7/8 x 8 7/8)",,,http://azenvelope.youareheremedia.com/product/9-3-78-x-8-78-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
211,"#8 5/8 (3 5/8 x 8 5/8)",,,http://azenvelope.youareheremedia.com/product/8-58-3-58-x-8-58-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
224,"#6 3/4 (3 5/8 x 6 1/2)",,,http://azenvelope.youareheremedia.com/product/6-34-3-58-x-6-12-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
237,"#6 1/2 (3 1/2 x 6 1/4)",,,http://azenvelope.youareheremedia.com/product/6-12-3-12-x-6-14-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
250,"#6-1/4 (3-1/2 x 6)",,,http://azenvelope.youareheremedia.com/product/6-14-3-12-x-6-2/,,30,,,instock,,visible,0,"1 Color|2 Color","Latex|Regular Gum|Zip Stick","#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",No|Yes,,,,,,,,,,,,"Custom Commercial Envelopes",private,,,,,,30,,product,,variable,0
437,"#8-5/8 Window","SKU: 858-W
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-w/,858-W,25.99,25.99,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg|http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-A-8-5-8-Window1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg|NI-A-8-5-8-Window1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg|/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-A-8-5-8-Window1.jpg,873|877,"#10 Standard Window -Front-Back|Impact Drawing","#80-Use This One|#31",,,"Stock Size Envelopes",publish,,6,14,10,6,45.32,,product,2.5.2,simple,0
438,"#8-5/8 Window Tint","SKU: 858-W-BLT
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Blue
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Blue
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-w-blt/,858-W-BLT,27.96,27.96,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-B-8-5-8-Window-Tint1.jpg,NI-B-8-5-8-Window-Tint1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-B-8-5-8-Window-Tint1.jpg,879,"NI-B 8 5-8 Window Tint",#31,,,"Stock Size Envelopes",publish,,6,14,10,6,46.16,,product,2.5.2,simple,0
439,"Drive-Up Teller","SKU: 3347-TEL
Style: Drive-Up Teller
Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum",http://azenvelope.youareheremedia.com/product/drive-up-teller-3347-tel/,3347-TEL,14.10,14.10,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/Drive-Up.jpg,Drive-Up.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/Drive-Up.jpg,875,"Drive Up","#1511 (Victor Die #111)",,,"Stock Size Envelopes",publish,,7,14,10,6,21.65,,product,2.5.2,simple,0
441,"A2 Announcement","SKU: A2
Style: A2 Announcement
Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a2-announcement-a2/,A2,27.73,27.73,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,"Stock Size Envelopes",publish,,4.5,14,10,6,35.33,,product,2.5.2,simple,0
443,"A6 Announcement","SKU: A6
Style: A6 Announcement
Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a6-announcement-a6/,A6,28.71,28.71,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,"Stock Size Envelopes",publish,,6,14,10,6,36.84,,product,2.5.0,simple,0
444,"A7 Announcement Machine-able","SKU: A7-MFLAP
Style: A7 Announcement Machine-able
Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a7-announcement-machinable-a7-mflap/,A7-MFLAP,21.32,21.32,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-I-A-7-1-1-4-Flap.jpg,NI-I-A-7-1-1-4-Flap.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-I-A-7-1-1-4-Flap.jpg,885,"A-7 - 1 1-4 Flap","1 5/8 flap",,,"Stock Size Envelopes",publish,,7.5,,,,33.11,,product,2.5.2,simple,0
445,"A7 Announcement","SKU: A7
Style: A7 Announcement
Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.","Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a7-announcement-a7/,A7,21.32,21.32,,instock,,visible,0,,,,,,,,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,"Stock Size Envelopes",publish,,7.5,,,,33.11,,product,2.5.2,simple,0
